Deutsch;Englisch;Daari;Ukrainisch;arabisch
Gestern war ich in Dresden.;Yesterday I was in Dresden.;دیروز درسدن بودم.;Вчора я був у Дрездені.;بالأمس كنت في دريسدن.
Heute ist Mittwoch und vorgestern war Montag.;Today is Wednesday and the day before was Monday.;امروز چهارشنبه و پریروز دوشنبه بود.;Сьогодні середа, а позавчора був понеділок.;اليوم هو الأربعاء وأول أمس كان يوم الاثنين.
Heute ist Mittwoch und morgen wird Donnerstag sein.;Today is Wednesday and tomorrow will be Thursday.;امروز چهارشنبه و فردا پنجشنبه خواهد بود.;Сьогодні середа, а завтра буде четвер.;اليوم هو الأربعاء وغدا سيكون الخميس.
Heute ist Mittwoch und übermorgen wird Freitag sein.;Today is Wednesday and the day after tomorrow will be Friday.;امروز چهارشنبه و پس فردا جمعه است.;Сьогодні середа, а післязавтра буде п'ятниця.;اليوم هو الأربعاء وبعد غد سيكون الجمعة.
Morgens wecke ich mein Kind.;In the morning I wake my child.;من فرزندم را صبح از خواب بیدار می کنم.;Я буджу свою дитину вранці.;أوقظ طفلي في الصباح.
Der Termin ist mittags.;The appointment is noon.;قرار ظهر است.;Зустріч опівдні.;الموعد عند الظهر.
Sein sie bitte pünktlich.;Please be on time.;لطفا به موقع حاضر شوید;Будь ласка, прийдіть вчасно.;يرجى أن تكون في الوقت المحدد.
Verabredest du dich Abends mit Michael?;Do you arrange to meet with Michael in the evening?;آیا عصر با مایکل ملاقات می کنید؟;Ти зустрічаєшся з Майклом увечері?;هل ستقابل مايكل في المساء؟
tagsüber schlafe ich nicht.;I dont sleep during daytime.;در طول روز نمی خوابم.;Я не сплю вдень.;أنا لا أنام أثناء النهار.
nachts schlafe ich immer.;I always sleep in the night.;من همیشه شب ها می خوابم.;Я завжди сплю вночі.;أنا دائما أنام في الليل.
der Termin ist jetzt und nicht in 30 Minuten.;The appointment is now and not in 30 minutes.;قرار ملاقات در حال حاضر است و نه در 30 دقیقه.;зустріч зараз, а не через 30 хвилин.;الموعد الآن وليس بعد 30 دقيقة.
Der nächste Termin ist übermorgen.;The next appointment is the day after tomorrow.;قرار بعدی پس فردا است.;Наступна зустріч післязавтра.;الموعد التالي هو بعد غد.
Ich wache stündlich auf.;I wake up every hour.;هر ساعت بیدار میشم;Я прокидаюся щогодини.;أستيقظ كل ساعة.
Sie hilft der Frau täglich.;She helps the woman daily.;او هر روز به زن کمک می کند.;Вона щодня допомагає жінці.;إنها تساعد المرأة كل يوم.
Ich komme erst in 40 Minuten.;I come only in 40 minutes.;40 دقیقه دیگر برنمی گردم.;Я не повернуся через 40 хвилин.;لن أعود لمدة 40 دقيقة.
Wann kommst du?;When do you come?;کی میای؟;коли прийдеш;متى ستأتي؟
Eins plus fünf sind sechs.;One plus five are six.;یک به علاوه پنج برابر با شش است.;Один плюс п'ять дорівнює шести.;واحد زائد خمسة يساوي ستة.
Zwei Minus zwei ist null.;Two minus two is zero.;دو منهای دو صفر است.;Два мінус два дорівнює нулю.;اثنان ناقص اثنين يساوي صفرًا.
Drei Mal vier sind zwölf.;Three times four are twelve.;سه ضربدر چهار می شود دوازده.;Три по чотири — дванадцять.;ثلاثة في أربعة يساوي اثني عشر.
Ich habe sieben oder acht Euro.;I have seven or eight euros.;من هفت هشت یورو دارم.;У мене є сім-вісім євро.;لدي سبعة أو ثمانية يورو.
Neunzig geteilt durch zehn sind neun.;ninety divided by ten is nine.;نود تقسیم بر ده می شود نه.;Дев'яносто поділити на десять - дев'ять.;تسعون مقسومًا على عشرة يساوي تسعة.
Die Zahl 11 schreibt man elf.;The number 11 is written elf.;عدد 11 یازده نوشته شده است.;Число 11 пишеться одинадцять.;الرقم 11 مكتوب أحد عشر.
Nach der hundert kommt die hunderteins;After hundred comes hundred one.;بعد از صد می آید صد و یک;Після сотні йде сто один;وبعد المائة تأتي المائة وواحد
fünf mal zweihundert sind tausend.;five times two hundred are thousand.;پنج برابر دویست هزار است.;п'ять помножених на двісті — це тисяча.;وخمسة ضرب مائتين هو ألف.
Tausend mal tausend sind eine Million.;thousand times thousand are a million.;هزار برابر هزار برابر یک میلیون است.;Тисяча разів на тисячу дорівнює мільйону.;ألف مرة ألف يساوي مليون.
Tausend mal eine Million sind eine Milliarde.;thousand times a million are a billion.;هزار برابر یک میلیون یک میلیارد است.;Тисяча разів на мільйон це мільярд.;ألف مرة مليون يساوي مليار.
Ich habe neunzehn Euro.;I have nineteen euros.;من نوزده یورو دارم.;У мене є дев'ятнадцять євро.;لدي تسعة عشر يورو.
zwanzig plus dreißig sind fünfzig;Twenty plus thirty are fifty.;بیست به اضافه سی معادل پنجاه است;двадцять плюс тридцять дорівнює п'ятдесят;عشرين زائد ثلاثين يساوي خمسين
Einundzwanzig zweiundzwanzig und jetzt?;Twenty one, twenty two and now?;بیست و یک بیست و دو و الان؟;Двадцять один двадцять два і зараз?;واحد وعشرون واثنان وعشرون والآن؟
Vierzig minus eins sind neununddreißig.;Forty minus one are thirty nine.;چهل منهای یک می شود سی و نه.;Сорок мінус один - тридцять дев'ять.;أربعون ناقص واحد يساوي تسعة وثلاثين.
haben sie sechzig siebzig oder achtzig Euro?;Do you have sixty, seventy or eighty euros?;شصت، هفتاد یا هشتاد یورو داری؟;У вас є шістдесят, сімдесят чи вісімдесят євро?;هل لديك ستين أو سبعين أو ثمانين يورو؟
Fünfzig prozent von vierzehn Euro sind sieben Euro.;Fifty percent of fourteen euro are seven euros.;پنجاه درصد از چهارده یورو هفت یورو است.;П'ятдесят відсотків від чотирнадцяти євро - це сім євро.;خمسون بالمائة من أربعة عشر يورو يساوي سبعة يورو.
Ein ganzer Tag hat vierundzwanzig Stunden.;A full day has twenty four hours.;یک روز کامل بیست و چهار ساعت دارد.;Цілий день складається з двадцяти чотирьох годин.;اليوم كله عبارة عن أربع وعشرون ساعة.
sechsundzwanzig geteilt durch zwei sind dreizehn;twentysix divided by two are thirteen.;بیست و شش تقسیم بر دو می شود سیزده;Двадцять шість поділити на два — це тринадцять;ستة وعشرون مقسومًا على اثنين يساوي ثلاثة عشر
Fünfzehn plus drei sind achtzehn.;fivteen plus three are eighteen.;پانزده به اضافه سه برابر هجده است.;П'ятнадцять плюс три дорівнює вісімнадцяти.;خمسة عشر زائد ثلاثة يساوي ثمانية عشر.
Die Kinder rechnen fünf plus fünf.;The kids calculate five plus five.;بچه ها پنج به اضافه پنج حساب می کنند.;Діти обчислюють п’ять плюс п’ять.;يحسب الأطفال خمسة زائد خمسة.
Ich schlafe seit zwei Stunden.;I sleep since two hours.;من دو ساعته که خوابم.;Я сплю години дві.;لقد كنت نائماً لمدة ساعتين.
Ich wecke dich um sieben Uhr.;I wake you up at seven o`clock.;ساعت هفت بیدارت می کنم.;Я тебе розбуджу о сьомій.;سأوقظك في الساعة السابعة.
Ich wache immer um drei Uhr morgens auf.;I always wake up at three o`clock in the morning.;من همیشه ساعت سه صبح از خواب بیدار می شوم.;Я завжди прокидаюся о третій ранку.;أستيقظ دائمًا في الثالثة صباحًا.
Wann stehst du auf?;When do you stand up?;کی بلند میشی؟;Коли ти встаєш?;متى تستيقظ؟
Wann findet der Termin statt?;When is the appointment happening?;قرار ملاقات چه زمانی انجام می شود؟;Коли відбувається призначення?;متى يتم التعيين؟
Wann seid ihr verabredet?;When are you meeting?;چه زمانی قرار ملاقات دارید؟;Коли у вас призначена зустріч?;متى يكون لديك موعد؟
wann fängt der Sommer an?;When does the summer begin?;تابستان کی شروع می شود؟;коли починається літо?;متى يبدأ الصيف؟
Die Woche beginnt am Montag.;The week begins on Monday.;هفته از دوشنبه شروع می شود.;Тиждень починається в понеділок.;يبدأ الأسبوع يوم الاثنين.
Das Kind zählt bis zehn.;The child counts till ten.;کودک تا ده می شمرد.;Дитина рахує до десяти.;يعد الطفل إلى عشرة.
Er wartet auf die Frau.;He waits for the woman.;او منتظر زن است.;Він чекає на жінку.;إنه ينتظر المرأة.
Wann öffnet der Supermarkt?;When opens the supermarket?;سوپرمارکت چه زمانی باز می شود؟;Коли відкривається супермаркет?;متى يفتح السوبر ماركت؟
Der Supermarkt schließt um sieben Uhr.;The supermarket closes at seven o`clock.;سوپرمارکت ساعت هفت بسته می شود.;Супермаркет зачиняється о сьомій годині.;السوبر ماركت يغلق الساعة السابعة.
